StringNum	sourceLang	targetLang	sourceString	targetString
1	en	it	Preliminary Estimates of the Prevalence of Selected Underlying Health Conditions Among Patients with Coronavirus Disease 2019 — United States, February 12–March 28, 2020	Stime Preliminari sulla Prevalenza di Patologie Pregresse Selezionate tra Pazienti affetti da Malattia da Coronavirus 2019 — Stati Uniti, 12 febbraio -— 28 marzo 2020
2	en	it	On March 11, 2020, the World Health Organization declared Coronavirus Disease 2019 (COVID-19) a pandemic.	L’11 marzo 2020 l’Organizzazione Mondiale della Sanità ha dichiarato la malattia da Coronavirus 2019 (COVID-19) una pandemia.
3	en	it	As of March 28, 2020, a total of 571,678 confirmed COVID-19 cases and 26,494 deaths have been reported worldwide.	Al 28 marzo 2020, sono stati registrati un totale di 571.678 casi confermati di COVID-19 e 26.494 decessi in tutto il mondo.
4	en	it	Reports from China and Italy suggest that risk factors for severe disease include older age and the presence of at least one of several underlying health conditions.	I report dalla Cina e dall’Italia suggeriscono che i fattori di rischio di malattia grave includono l’età avanzata e la presenza di almeno una tra alcune patologie pregresse.
5	en	it	"U.S. older adults, including those aged ?65 years and particularly those aged ?85 years, also appear to be at higher risk for severe COVID-19–associated outcomes; however, data describing underlying health conditions among U.S. COVID-19 patients have not yet been reported."""	"Anche gli adulti anziani statunitensi, inclusi quelli di età ?65 anni e in particolare quelli di età ?85 anni sembrano essere a maggior rischio di complicanze gravi associate al COVID-19; tuttavia, non sono ancora stati riportati dati che descrivano le patologie pregresse nei pazienti COVID-19 negli Stati Uniti."
6	en	it	As of March 28, 2020, U.S. states and territories have reported 122,653 U.S. COVID-19 cases to CDC, including 7,162 (5.8%) for whom data on underlying health conditions and other known risk factors for severe outcomes from respiratory infections were reported.	Al 28 marzo 2020, gli stati federati e i territori degli Stati Uniti hanno segnalato ai CDC 122.653 casi di COVID-19 negli Stati Uniti, compresi 7.162 (5,8%) per i quali erano riportati i dati su patologie pregresse e altri fattori di rischio noti per complicanze gravi da infezioni respiratorie.
7	en	it	Among these 7,162 cases, 2,692 (37.6%) patients had one or more underlying health condition or risk factor, and 4,470 (62.4%) had none of these conditions reported.	Di questi 7.162 casi, 2.692 (37,6%) pazienti erano affetti da una o più patologie pregresse o fattori di rischio, e 4.470 (62,4%) non presentavano alcuna condizione tra quelle segnalate.
8	en	it	The percentage of COVID-19 patients with at least one underlying health condition or risk factor was higher among those requiring intensive care unit (ICU) admission (358 of 457, 78%) and those requiring hospitalization without ICU admission (732 of 1,037, 71%) than that among those who were not hospitalized (1,388 of 5,143, 27%).	La percentuale di pazienti COVID-19 con almeno una patologia pregressa o un fattore di rischio era più alta tra quelli che necessitavano il ricovero in unità di terapia intensiva (UTI -358 su 457, 78%) e coloro che necessitavano l’ospedalizzazione senza ricovero in UTI (732 su 1.037, 71%) rispetto ai pazienti non ospedalizzati (1.388 su 5.143, 27%).
9	en	it	The most commonly reported conditions were diabetes mellitus, chronic lung disease, and cardiovascular disease.	Le patologie segnalate più comunemente erano diabete mellito, malattie polmonari croniche e malattie cardiovascolari.
10	en	it	These preliminary findings suggest that in the United States, persons with underlying health conditions or other recognized risk factors for severe outcomes from respiratory infections appear to be at a higher risk for severe disease from COVID-19 than are persons without these conditions.	Questi risultati preliminari suggeriscono che, negli Stati Uniti, le persone con patologie pregresse o altri fattori di rischio riconosciuti per complicanze gravi da infezioni respiratorie presentino un maggiore rischio di malattia grave da COVID-19 rispetto alle persone senza queste patologie.
11	en	it	Data from laboratory-confirmed COVID-19 cases reported to CDC from 50 states, four U.S. territories and affiliated islands, the District of Columbia, and New York City with February 12–March 28, 2020 onset dates were analyzed.	Sono stati analizzati i dati provenienti da casi di COVID-19 confermati in laboratorio segnalati ai CDC da 50 stati, quattro territori e isole affiliate degli Stati Uniti, il District of Columbia e New York, aventi come data di insorgenza il periodo 12 febbraio - 28 marzo 2020.
12	en	it	Cases among persons repatriated to the United States from Wuhan, China, and the Diamond Princess cruise ship were excluded.	Sono stati esclusi i casi di persone rimpatriate negli Stati Uniti da Wuhan o dalla nave da crociera Diamond Princess.
13	en	it	For cases with missing onset dates, date of onset was estimated by subtracting 4 days (median interval from symptom onset to specimen collection date among cases with known dates in these data) from the earliest specimen collection.	Quanto ai casi con dati mancanti sull’insorgenza, la data dell’insorgenza è stata stimata sottraendo 4 giorni (intervallo mediano tra l’insorgenza dei sintomi e la data di raccolta dei campioni tra i casi con date note in questi dati) dalla prima raccolta di campioni.
14	en	it	"Public health departments reported cases to CDC using a standardized case report form that captures information (yes, no, or unknown) on the following conditions and potential risk factors: chronic lung disease (inclusive of asthma, chronic obstructive pulmonary disease , and emphysema); diabetes mellitus; cardiovascular disease; chronic renal disease; chronic liver disease; immunocompromised condition; neurologic disorder, neurodevelopmental, or intellectual disability; pregnancy; current smoking status; former smoking status; or other chronic disease."	"I dipartimenti sanitari pubblici hanno segnalato i casi ai CDC utilizzando un modulo di segnalazione standardizzato che rilevasse l’informazione (sì, no, o sconosciuto) sulle seguenti patologie e sui potenziali fattori di rischio: malattie polmonari croniche (includenti asma, broncopneumopatia cronica ostruttiva  ed enfisema); diabete mellito, malattie cardiovascolari, malattie renali croniche, malattie epatiche croniche, condizione di immunodeficienza, disturbi neurologici, disturbi del neurosviluppo o disabilità intellettive; gravidanza, stato di fumatore attuale, stato di ex-fumatore e altre patologie croniche."
15	en	it	"Data reported to CDC are preliminary and can be updated by health departments over time; critical data elements might be missing at the time of initial report; thus, this analysis is descriptive, and no statistical comparisons could be made."	"I dati riportati ai CDC sono preliminari e possono essere aggiornati nel tempo dai dipartimenti sanitari; alcuni dati essenziali potrebbero essere assenti al momento della stesura del report iniziale; pertanto, questa analisi è descrittiva, e non è stato possibile effettuare comparazioni statistiche."
