source,reference,MMT (baseline),LLM (base),BLEU (MMT base),BLEU (LLM base),BLEU (difference base MMT/LLM),chrF3 (MMT base),chrF3 (LLM base),chrF3 (difference base MMT/LLM),COMET (MMT base),COMET (LLM base),COMET (difference base MMT/LLM)
"﻿Preliminary Estimates of the Prevalence of Selected Underlying Health Conditions Among Patients with Coronavirus Disease 2019 — United States, February 12–March 28, 2020","﻿Stime Preliminari sulla Prevalenza di Patologie Pregresse Selezionate tra Pazienti affetti da Malattia da Coronavirus 2019 — Stati Uniti, 12 febbraio -— 28 marzo 2020","﻿Preliminary Estimates of the Prevalence of Selected Underlying Health Conditions Among Patients with Coronavirus Disease 2019 — Stati Uniti, 12 febbraio - 28 marzo 2020","﻿Stime Preliminari della Prevalenza di Alcune Condizioni di Salute Sottostanti Selezionate tra i Pazienti con Malattia del Coronavirus 2019 — Stati Uniti, 12 febbraio-28 marzo 2020",27.699,29.974,-2.275,48.764,69.379,-20.615,0.651,0.836,-0.185
Reports from China and Italy suggest that risk factors for severe disease include older age and the presence of at least one of several underlying health conditions.,I report dalla Cina e dall’Italia suggeriscono che i fattori di rischio di malattia grave includono l’età avanzata e la presenza di almeno una tra alcune patologie pregresse.,Rapporti provenienti da Cina e Italia suggeriscono che i fattori di rischio per la malattia grave includono l'età avanzata e la presenza di almeno una delle diverse condizioni di salute di base.,Rapporti provenienti dalla Cina e dall'Italia suggeriscono che i fattori di rischio per la malattia grave includono l'età avanzata e la presenza di almeno una delle seguenti condizioni di salute sottostanti.,37.586,40.944,-3.358,67.008,71.632,-4.624,0.925,0.932,-0.007
"Among these 7,162 cases, 2,692 (37.6%) patients had one or more underlying health condition or risk factor, and 4,470 (62.4%) had none of these conditions reported.","Di questi 7.162 casi, 2.692 (37,6%) pazienti erano affetti da una o più patologie pregresse o fattori di rischio, e 4.470 (62,4%) non presentavano alcuna condizione tra quelle segnalate.","Tra questi 7.162 casi, 2.692 (37,6%) pazienti presentavano una o più condizioni di salute o fattori di rischio sottostanti e 4.470 (62,4%) non avevano riportato nessuna di queste condizioni.","Tra questi 7.162 casi, 2.692 (37,6%) pazienti avevano una o più condizioni di salute sottostanti o fattori di rischio, e 4.470 (62,4%) non avevano nessuna di queste condizioni riportate.",48.761,55.973,-7.212,61.269,59.33,1.939,0.934,0.934,0.0
"These preliminary findings suggest that in the United States, persons with underlying health conditions or other recognized risk factors for severe outcomes from respiratory infections appear to be at a higher risk for severe disease from COVID-19 than are persons without these conditions.","Questi risultati preliminari suggeriscono che, negli Stati Uniti, le persone con patologie pregresse o altri fattori di rischio riconosciuti per complicanze gravi da infezioni respiratorie presentino un maggiore rischio di malattia grave da COVID-19 rispetto alle persone senza queste patologie.","Questi risultati preliminari suggeriscono che negli Stati Uniti, le persone con condizioni di salute di base o altri fattori di rischio riconosciuti per esiti gravi da infezioni respiratorie sembrano essere a più alto rischio di malattia grave da COVID-19 rispetto alle persone senza queste condizioni.","Questi risultati preliminari suggeriscono che negli Stati Uniti, le persone con condizioni di salute sottostanti o altri fattori di rischio riconosciuti per esiti gravi a seguito di infezioni respiratorie sembrano essere ad un maggior rischio per una malattia grave da COVID-19 rispetto alle persone senza queste condizioni.",57.343,48.441,8.902,77.013,75.41,1.603,0.877,0.867,0.01
"For cases with missing onset dates, date of onset was estimated by subtracting 4 days (median interval from symptom onset to specimen collection date among cases with known dates in these data) from the earliest specimen collection.","Quanto ai casi con dati mancanti sull’insorgenza, la data dell’insorgenza è stata stimata sottraendo 4 giorni (intervallo mediano tra l’insorgenza dei sintomi e la data di raccolta dei campioni tra i casi con date note in questi dati) dalla prima raccolta di campioni.","Per i casi con date di insorgenza mancanti, la data di insorgenza è stata stimata sottraendo 4 giorni (intervallo mediano dall'insorgenza dei sintomi alla data di raccolta del campione tra i casi con date note in questi dati) dalla prima raccolta del campione.","Per i casi con date di insorgenza mancanti, la data di insorgenza è stata stimata sottraendo 4 giorni (intervallo mediano dall'insorgenza dei sintomi alla data di raccolta del campione tra i casi con date note in questi dati) dalla data di raccolta del campione più precoce.",51.697,44.516,7.181,79.922,76.624,3.298,0.901,0.899,0.002
"The percentages of patients of all ages with underlying health conditions who were not hospitalized, hospitalized without ICU admission, and hospitalized with ICU admission were calculated.","Sono state calcolate le percentuali dei pazienti di tutte le età con patologie pregresse che non sono stati ospedalizzati, che sono stati ospedalizzati senza ammissione in UTI, e che sono stati ospedalizzati con ammissione in UTI.","Sono state calcolate le percentuali di pazienti di tutte le età con condizioni di salute di base che non sono stati ricoverati in ospedale, ricoverati in ospedale senza ricovero in terapia intensiva e ricoverati in ospedale con ricovero in terapia intensiva.","Le percentuali di pazienti di tutte le età con condizioni di salute sottostanti che non sono stati ricoverati, ricoverati senza ammissione in terapia intensiva e ricoverati con ammissione in terapia intensiva sono state calcolate.",26.34,26.389,-0.049,49.666,54.806,-5.14,0.783,0.752,0.031
"To account for missing data among these preliminary reports, ranges were estimated with a lower bound including cases with both known and unknown status for hospitalization with and without ICU admission as the denominator and an upper bound using only cases with known outcome status as the denominator.","Per tenere conto dei dati mancanti in questi report preliminari, gli intervalli sono stati stimati con un limite inferiore comprendente come denominatore i casi sia con stato conosciuto che sconosciuto sull’ospedalizzazione con e senza ricovero in UTI, e un limite superiore che utilizzava come denominatore solo i casi con stato dell’esito conosciuto.","Per tenere conto dei dati mancanti tra questi rapporti preliminari, sono stati stimati intervalli con un limite inferiore che includeva casi con stato noto e sconosciuto per il ricovero in ospedale con e senza ricovero in terapia intensiva come denominatore e un limite superiore utilizzando solo casi con stato di esito noto come denominatore.","Per tenere conto dei dati mancanti in questi rapporti preliminari, sono state stimate le fasce con un limite inferiore che comprende i casi con status noto e ignoto per il ricovero con e senza ammissione in terapia intensiva come denominatore e un limite superiore che utilizza solo i casi con stato di esito noto come denominatore.",31.411,34.267,-2.856,67.987,64.983,3.004,0.844,0.826,0.018
"Case report forms were submitted to CDC for 74,439 (60.7%) cases.","Sono stati consegnati ai CDC moduli di segnalazione per 74.439 (60,7%) casi.","Le schede raccolta dati sono state presentate al CDC per 74.439 (60,7%) casi.","I moduli di referto dei casi sono stati inviati al CDC per 74.439 (60,7%) casi.",42.65,41.947,0.703,44.935,55.029,-10.094,0.919,0.944,-0.025
"Diabetes mellitus (784, 10.9%), chronic lung disease (656, 9.2%), and cardiovascular disease (647, 9.0%) were the most frequently reported conditions among all cases.","Il diabete mellito (784, 10,9%), malattie polmonari croniche (656, 9,2%), e malattie cardiovascolari (647, 9,0%) erano le patologie segnalate più spesso tra tutti i casi.","Il diabete mellito (784, 10,9%), la malattia polmonare cronica (656, 9,2%) e le malattie cardiovascolari (647, 9,0%) sono state le condizioni segnalate più frequentemente tra tutti i casi.","Il diabete mellito (784, 10,9%), la malattia polmonare cronica (656, 9,2%) e le malattie cardiovascolari (647, 9,0%) sono state le condizioni più frequentemente segnalate tra tutti i casi.",58.11,57.543,0.567,70.503,70.419,0.084,0.952,0.951,0.001
"Among patients aged ≥19 years, the percentage of non-ICU hospitalizations was higher among those with underlying health conditions (27.3%–29.8%) than among those without underlying health conditions (7.2%–7.8%); the percentage of cases that resulted in an ICU admission was also higher for those with underlying health conditions (13.3%–14.5%) than those without these conditions (2.2%–2.4%) (Table 2).","Tra i pazienti di età ≥19 anni, la percentuale di ospedalizzazioni senza ricovero in UTI era più alta tra le persone affette da patologie pregresse (27,3% - 29,8%) che tra quelle che ne erano prive (7,2% - 7,8%); anche la percentuale di casi che hanno portato a ricovero in UTI era più alta per le persone con patologie pregresse (13,3% - 14,5%) che per quelle che non ne presentavano (2,2% - 2,4%) (Tabella 2).","Tra i pazienti di età pari o superiore a 19 anni, la percentuale di ricoveri non in terapia intensiva era più alta tra quelli con condizioni di salute di base (27,3%-29,8%) rispetto a quelli senza condizioni di salute di base (7,2%-7,8%); la percentuale di casi che hanno comportato un ricovero in terapia intensiva era anche più alta tra quelli con condizioni di salute di base (13,3%-14,5%) rispetto a quelli senza queste condizioni (2,2%-2,4%) (Tabella 2).","Tra i pazienti di età ≥19 anni, la percentuale di ricoveri non in terapia intensiva è stata più alta tra coloro che avevano condizioni di salute sottostanti (27,3%–29,8%) che tra coloro che non avevano condizioni di salute sottostanti (7,2%–7,8%); la percentuale di casi che hanno portato ad un'ammissione in terapia intensiva è stata anche più alta per coloro che avevano condizioni di salute sottostanti (13,3%–14,5%) che per coloro che non avevano queste condizioni (2,2%–2,4%) (Tabella 2).",27.665,34.531,-6.866,54.906,51.829,3.077,0.879,0.878,0.001
