English;Italian
14 days in isolation;14 giorni di isolamento
14 days quarantine;quarantena di 14 giorni
1918 flu;influenza del 1918
2019 coronavirus;coronavirus 2019
2019 novel coronavirus;nuovo coronavirus 2019
2019-nCoV;nCoV-2019
2020 coronavirus;coronavirus 2020
2020 novel coronavirus;nuovo coronavirus 2020
about coronavirus;informazioni sul coronavirus
active cases;casi positivi
acute bronchitis;bronchite acuta
acute respiratory disease;Sindrome respiratoria acuta
acute respiratory distress syndrome;sindrome da distress respiratorio acuto
advanced hand sanitizer;igienizzante mani avanzato
Affected by coronavirus;Colpito dal coronavirus
after exposure;dopo l'esposizione
After the epidemic;Dopo l'epidemia
After the outbreak;Dopo l'epidemia
AIDS;AIDS
airborne droplets;goccioline trasportate dall'aria
airborne virus;virus per via aerea
airway;via aerea
alcohol based hand sanitizer;igienizzante mani a base di alcol
alcohol hand sanitizer;igienizzante mani con alcol
alcohol-based;a base di alcool
alcohol-based hand rub;igienizzante per le mani a base alcolica
alcohol-based hand sanitizer;disinfettante per le mani a base alcolica
alcohol-based hand sanitizer;igienizzante mani a base di alcol
alveolar disease;malattia alveolare
an epidemic;un'epidemia
annual flu;influenza stagionale
antibacterial hand sanitizer;igienizzante mani antibatterico
Anti-Corona virus spray;Spray anti-Coronavirus
anti-inflammatory drug;farmaco antinfiammatorio
antiviral drug;farmaco antivirale
antiviral treatment;trattamento antivirale
ARDS;Sindrome da distress respiratorio acuto
assay;saggio
asymptomatic;asintomatica
avian flu;influenza aviaria
avoid exposure;evitare l'esposizione
be infected;essere infetto
Beware of coronavirus;Fare attenzione al coronavirus
bilateral interstitial pneumonia;polmonite interstiziale bilaterale
Black Plague;peste nera
blood pressure;pressione sanguigna
body fluid;fluido corporeo
breathing;respirazione
bubonic plague;peste bubbonica
c19;C19
case fatality rate;tasso di letalità
causative agent;agente scatenante
CDC;CDC
CDC;Centro per la prevenzione e il controllo delle malattie
Center for Disease Control;Centro per il controllo delle malattie
chemical disinfection;disinfezione chimica
chest x-ray;radiografia del torace
chronic respiratory disease;malattia respiratoria cronica
clinical diagnosis;diagnosi clinica
clinical trial;test clinico
close contact;a stretto contatto
close contact;contatto ravvicinato
common cold;raffreddore
common flu;influenza comune
communicable disease;malattia trasmissibile
community spread;diffusione comunitaria
community spread;diffusione nella comunità
community transmission;trasmissione comunitaria
compromised immune system;sistema immunitario compromesso
compulsory quarantine;quarantena obbligatoria
confirmed cases;casi confermati
contagion;contagio
contagious;contagioso
contagiousness;contagiosità
corona;corona
corona virus;coronavirus
corona virus epidemic;epidemia di coronavirus
corona virus outbreak;epidemia di coronavirus
corona virus scare;paura del coronavirus
coronavirus;coronavirus
coronavirus (COVID-19);coronavirus (COVID-19)
coronavirus alert;allarme coronavirus
coronavirus cases;casi di coronavirus
coronavirus concerns;preoccupazioni relative al coronavirus
coronavirus crisis;crisi del coronavirus
coronavirus disease;malattia di coronavirus
Coronavirus disease (COVID-19) outbreak;Focolaio della malattia di Coronavirus (COVID-19)
coronavirus early symptoms;primi sintomi del coronavirus
coronavirus epidemic;epidemia di coronavirus
coronavirus exposure;esposizione al coronavirus
coronavirus incubation;incubazione del coronavirus
coronavirus incubation period;periodo di incubazione del coronavirus
coronavirus infection;infezione da coronavirus
coronavirus map;mappa del coronavirus
coronavirus medicine;medicinale per il coronavirus
coronavirus medicines;medicinali per il coronavirus
coronavirus news;notizie sul coronavirus
coronavirus outbreak;focolaio di coronavirus
coronavirus outbreak;epidemia di coronavirus
coronavirus pandemic;pandemia di coronavirus
coronavirus pneumonia;polmonite da coronavirus
coronavirus precautions;precauzioni per il coronavirus
coronavirus prevention;prevenzione del coronavirus
coronavirus protection;protezione dal coronavirus
coronavirus quarantine;quarantena per il coronavirus
coronavirus scare;paura del coronavirus
coronavirus SOS Alert;Avviso SOS coronavirus
coronavirus spread;diffusione del coronavirus
coronavirus symptoms;sintomi del coronavirus
coronavirus transmission;trasmissione del coronavirus
coronavirus travel ban;coronavirus divieto di viaggio
coronavirus travel restrictions;coronavirus restrizioni di viaggio
coronavirus treatment;terapia per il coronavirus
coronavirus update;aggiornamento sul coronavirus
coronavirus vaccine;vaccino contro il coronavirus
coronavirus vaccines;vaccini contro il coronavirus
cough;tosse
cough etiquette;comportamento in caso di tosse
coughing;tossendo
cov 19;cov 19
cov19;cov19
COVID;COVID
COVID 19;COVID 19
covid cases;casi di covid
covid early symptoms;primi sintomi del covid
covid incubation period;periodo di incubazione del covid
covid international spread;diffusione internazionale del covid
covid international travel;covid viaggi internazionali
covid isolation;isolamento per il covid
covid map;mappa del covid
covid medicine;medicinale per il covid
covid medicines;medicinali per il covid
covid news;notizie sul covid
covid outbreak;epidemia di covid
covid pandemic;pandemia di covid
covid panic;panico per il covid
covid SOS Alert;Avviso SOS covid
covid symptoms;sintomi del covid
covid transmission;trasmissione del covid
covid travel ban;covid divieto di viaggio
covid travel restrictions;covid restrizioni di viaggio
covid treatment;terapia per il covid
covid vaccine;vaccino contro il covid
covid vaccines;vaccini contro il covid
COVID-19;COVID-19
COVID-19;COVID-19
COVID-19;COVID-19
COVID-19;COVID-19
COVID-19;COVID-19
COVID-19 alert;allarme COVID-19
COVID-19 alert;allarme COVID-19
COVID-19 cases;casi di COVID-19
COVID-19 cases;casi di COVID-19
COVID-19 CDC;centro per la prevenzione e il controllo del COVID-19
COVID-19 CDC;centro per la prevenzione e il controllo del COVID-19
COVID-19 contagious;COVID-19 contagioso
COVID-19 crisis;Crisi COVID-19
COVID-19 cure;cura per il COVID-19
COVID-19 dangerous;COVID-19 pericoloso
COVID-19 deadly;COVID-19 mortale
COVID-19 death;decesso per COVID-19
COVID-19 deaths;decessi per COVID-19
COVID-19 deaths;decessi per COVID-19
COVID-19 domestic travel;COVID-19 viaggi nazionali
COVID-19 domestic travel;COVID-19 viaggi nazionali
COVID-19 early symptoms;primi sintomi del COVID-19
COVID-19 effects;effetti del COVID-19
COVID-19 effects;effetti del COVID-19
COVID-19 epidemic;epidemia di COVID-19
COVID-19 epidemic;Epidemia di COVID-19
COVID-19 epidemic;epidemia di COVID-19
COVID-19 exposure;esposizione al COVID-19
COVID-19 exposure;esposizione al COVID-19
COVID-19 fatal;COVID-19 fatale
COVID-19 fatal;COVID-19 fatale
COVID-19 fever;febbre da COVID-19
COVID-19 fever;febbre da COVID-19
COVID-19 illness;malattia di COVID-19
COVID-19 illness;malattia di COVID-19
COVID-19 incubation;incubazione del COVID-19
COVID-19 incubation;incubazione del COVID-19
COVID-19 incubation period;periodo di incubazione del COVID-19
COVID-19 incubation period;periodo di incubazione del COVID-19
COVID-19 infection;infezione da COVID-19
COVID-19 infection;infezione da COVID-19
COVID-19 international spread;diffusione internazionale del COVID-19
COVID-19 international spread;diffusione internazionale del COVID-19
COVID-19 international travel;COVID-19 viaggi internazionali
COVID-19 international travel;COVID-19 viaggi internazionali
COVID-19 isolation;isolamento per il COVID-19
COVID-19 isolation;isolamento per il COVID-19
COVID-19 lockdown;confinamento per il COVID-19
COVID-19 lockdown;confinamento per il COVID-19
COVID-19 map;mappa del COVID-19
COVID-19 map;mappa del COVID-19
COVID-19 medicine;medicinale per il COVID-19
COVID-19 medicine;medicinale per il COVID-19
COVID-19 medicines;medicinali per il COVID-19
COVID-19 medicines;medicinali per il COVID-19
COVID-19 news;notizie sul COVID-19
COVID-19 news;notizie sul COVID-19
COVID-19 outbreak;epidemia di COVID-19
COVID-19 outbreak;Focolaio di COVID-19
COVID-19 outbreak;epidemia di COVID-19
COVID-19 pandemic;pandemia di COVID-19
COVID-19 pandemic;Pandemia di COVID-19
COVID-19 pandemic;pandemia di COVID-19
COVID-19 panic;panico per il COVID-19
COVID-19 precautions;precauzioni per il COVID-19
COVID-19 precautions;precauzioni per il COVID-19
COVID-19 protection;protezione dal COVID-19
COVID-19 protection;protezione dal COVID-19
COVID-19 quarantine;quarantena per il COVID-19
COVID-19 quarantine;quarantena per il COVID-19
COVID-19 SOS Alert;Avviso SOS COVID-19
COVID-19 SOS Alert;Avviso SOS COVID-19
COVID-19 spread;diffusione del COVID-19
COVID-19 spread;diffusione del COVID-19
COVID-19 symptoms;sintomi del COVID-19
COVID-19 symptoms;sintomi del COVID-19
COVID-19 testing center;centro prelievi COVID-19
COVID-19 transmission;trasmissione del COVID-19
COVID-19 transmission;trasmissione del COVID-19
COVID-19 travel ban;COVID-19 divieto di viaggio
COVID-19 travel restrictions;COVID-19 restrizioni di viaggio
COVID-19 treatment;terapia per il COVID-19
COVID-19 treatment;terapia per il COVID-19
COVID-19 uncontrolled spread;diffusione incontrollata del COVID-19
COVID-19 vaccine;vaccino contro il COVID-19
COVID-19 vaccines;vaccini contro il COVID-19
COVID-19 virus;virus COVID-19
COVID-19 virus outbreak;epidemia del virus COVID-19
COVID-19 virus transmission;trasmissione del virus COVID-19
COVID-19 WHO;COVID-19 OMS
current crisis;crisi attuale
current health crisis;attuale crisi sanitaria
current outbreak;focolaio attuale
current outbreak;epidemia attuale
current pandemic;pandemia attuale
CV;CV
cv19;CV19
CV-19;CV-19
cvirus;cvirus
deadly;mortale
deadly outbreak;epidemia mortale
deadly virus;virus mortale
death rate;tasso di mortalità
death toll;bilancio delle vittime
deaths;decessi
decontaminate;decontaminare
detectable;rilevabile
detergent;detergente
diabetes;diabete
diagnosable disease;malattia diagnosticabile
diagnostic protocol;protocollo diagnostico
diagnostic testing;test diagnostico
difficulty breathing;respirazione difficoltosa
disease itself;la malattia stessa
disease outbreak;epidemia di malattia
disease outbreak;focolaio della malattia
disinfectant;disinfettante
disposable;monouso
Disposable hand sanitizer;Igienizzante mani monouso
Do the Five;Segui le 5 regole
domestic travel;viaggi nazionali
droplet transmission;trasmissione tramite goccioline
droplets;goccioline
dry cough;tosse secca
dry surface contamination;contaminazione della superficie asciutta
ebola;ebola
effective treatment;trattamento efficace
Effects of coronavirus;Effetti del coronavirus
electron microscope;microscopio elettronico
emergency department;dipartimento per le emergenze
epidemic;epidemico
epidemic;epidemia
epidemic and pandemic;epidemico e pandemico
epidemic curve;curva epidemica
epidemic disease;malattia epidemica
epidemic outbreak;focolaio epidemico
epidemic peak;picco dell'epidemia
epidemic period;periodo dell'epidemia
epidemic prevention;prevenzione dell'epidemia
epidemic season;stagione dell'epidemia
epidemic situation;situazione dell'epidemia
epidemiologist;epidemiologo
exposure;esposizione
exposure time;tempo di esposizione
extreme caution;estrema cautela
eye protection;protezione per gli occhi
face mask;maschera per il viso
face masks;maschere per il viso
family cluster;gruppo familiare
fatality rate;tasso di mortalità
fecal contamination;contaminazione fecale
fever;febbre
fight the virus;combattere il virus
Fighting the outbreak;Lotta contro l'epidemia
flatten the infection curve;appiattire la curva dell'infezione
flu;influenza
flu epidemic;epidemia di influenza
fomites;fomiti
food safety;sicurezza alimentare
formaldehyde;formaldeide
gastroenteritis;gastroenterite
germicide;germicida
global health emergency;emergenza sanitaria globale
global outbreak;focolaio globale
global pandemic;pandemia globale
global warming;riscaldamento globale
good respiratory hygiene;buona igiene respiratoria
Guangdong;Guangdong
H1N1;H1N1
H1N1 virus;Virus H1N1
hand disinfectant;disinfettante per le mani
hand sanitizer;disinfettante per le mani
hand sanitizer;igienizzante mani
hand sanitizer dispenser;distributore di igienizzante mani
hand sanitizer gel;gel igienizzante mani
hand sanitizer spray;spray igienizzante mani
hand-washing;lavaggio delle mani
health care provider;assistente sanitario
health crisis;crisi sanitaria
health plan carrier;assicurazione sanitaria
health services;servizi sanitari
healthcare professional;operatore sanitario
healthcare provider;fornitore di servizi sanitari
heart failure;arresto cardiaco
Hepatitis B virus;Virus dell'epatite B
herpes simplex virus;virus dell'herpes simplex
high fever;febbre alta
HIV;HIV
home isolation;isolamento a casa
home quarantine;quarantena a casa
hospitalize;ospedalizzare
household bleach;candeggina per uso domestico
