stringID;sourceLang;targetLang;sourceString;targetString
1;en_US;it_IT;14 days in isolation;14 giorni di isolamento
2;en_US;it_IT;14 days quarantine;quarantena di 14 giorni
3;en_US;it_IT;1918 flu;influenza del 1918
4;en_US;it_IT;2019 coronavirus;coronavirus 2019
5;en_US;it_IT;2019 novel coronavirus;nuovo coronavirus 2019
6;en_US;it_IT;2019-nCoV;nCoV-2019
7;en_US;it_IT;2020 coronavirus;coronavirus 2020
8;en_US;it_IT;2020 novel coronavirus;nuovo coronavirus 2020
9;en_US;it_IT;about coronavirus;informazioni sul coronavirus
10;en_US;it_IT;active cases;casi positivi
11;en_US;it_IT;acute bronchitis;bronchite acuta
12;en_US;it_IT;acute respiratory disease;Sindrome respiratoria acuta
13;en_US;it_IT;acute respiratory distress syndrome;sindrome da distress respiratorio acuto
14;en_US;it_IT;advanced hand sanitizer;igienizzante mani avanzato
15;en_US;it_IT;Affected by coronavirus;Colpito dal coronavirus
16;en_US;it_IT;after exposure;dopo l'esposizione
17;en_US;it_IT;After the epidemic;Dopo l'epidemia
18;en_US;it_IT;After the outbreak;Dopo l'epidemia
19;en_US;it_IT;AIDS;AIDS
20;en_US;it_IT;airborne droplets;goccioline trasportate dall'aria
21;en_US;it_IT;airborne virus;virus per via aerea
22;en_US;it_IT;airway;via aerea
23;en_US;it_IT;alcohol based hand sanitizer;igienizzante mani a base di alcol
24;en_US;it_IT;alcohol hand sanitizer;igienizzante mani con alcol
25;en_US;it_IT;alcohol-based;a base di alcool
26;en_US;it_IT;alcohol-based hand rub;igienizzante per le mani a base alcolica
27;en_US;it_IT;alcohol-based hand sanitizer;disinfettante per le mani a base alcolica
28;en_US;it_IT;alcohol-based hand sanitizer;igienizzante mani a base di alcol
29;en_US;it_IT;alveolar disease;malattia alveolare
30;en_US;it_IT;an epidemic;un'epidemia
31;en_US;it_IT;annual flu;influenza stagionale
32;en_US;it_IT;antibacterial hand sanitizer;igienizzante mani antibatterico
33;en_US;it_IT;Anti-Corona virus spray;Spray anti-Coronavirus
34;en_US;it_IT;anti-inflammatory drug;farmaco antinfiammatorio
35;en_US;it_IT;antiviral drug;farmaco antivirale
36;en_US;it_IT;antiviral treatment;trattamento antivirale
37;en_US;it_IT;ARDS;Sindrome da distress respiratorio acuto
38;en_US;it_IT;assay;saggio
39;en_US;it_IT;asymptomatic;asintomatica
40;en_US;it_IT;avian flu;influenza aviaria
41;en_US;it_IT;avoid exposure;evitare l'esposizione
42;en_US;it_IT;be infected;essere infetto
43;en_US;it_IT;Beware of coronavirus;Fare attenzione al coronavirus
44;en_US;it_IT;bilateral interstitial pneumonia;polmonite interstiziale bilaterale
45;en_US;it_IT;Black Plague;peste nera
46;en_US;it_IT;blood pressure;pressione sanguigna
47;en_US;it_IT;body fluid;fluido corporeo
48;en_US;it_IT;breathing;respirazione
49;en_US;it_IT;bubonic plague;peste bubbonica
50;en_US;it_IT;c19;C19
51;en_US;it_IT;case fatality rate;tasso di letalità
52;en_US;it_IT;causative agent;agente scatenante
53;en_US;it_IT;CDC;CDC
54;en_US;it_IT;CDC;Centro per la prevenzione e il controllo delle malattie
55;en_US;it_IT;Center for Disease Control;Centro per il controllo delle malattie
56;en_US;it_IT;chemical disinfection;disinfezione chimica
57;en_US;it_IT;chest x-ray;radiografia del torace
58;en_US;it_IT;chronic respiratory disease;malattia respiratoria cronica
59;en_US;it_IT;clinical diagnosis;diagnosi clinica
60;en_US;it_IT;clinical trial;test clinico
61;en_US;it_IT;close contact;a stretto contatto
62;en_US;it_IT;close contact;contatto ravvicinato
63;en_US;it_IT;common cold;raffreddore
64;en_US;it_IT;common flu;influenza comune
65;en_US;it_IT;communicable disease;malattia trasmissibile
66;en_US;it_IT;community spread;diffusione comunitaria
67;en_US;it_IT;community spread;diffusione nella comunità
68;en_US;it_IT;community transmission;trasmissione comunitaria
69;en_US;it_IT;compromised immune system;sistema immunitario compromesso
70;en_US;it_IT;compulsory quarantine;quarantena obbligatoria
71;en_US;it_IT;confirmed cases;casi confermati
72;en_US;it_IT;contagion;contagio
73;en_US;it_IT;contagious;contagioso
74;en_US;it_IT;contagiousness;contagiosità
75;en_US;it_IT;corona;corona
76;en_US;it_IT;corona virus;coronavirus
77;en_US;it_IT;corona virus epidemic;epidemia di coronavirus
78;en_US;it_IT;corona virus outbreak;epidemia di coronavirus
79;en_US;it_IT;corona virus scare;paura del coronavirus
80;en_US;it_IT;coronavirus;coronavirus
81;en_US;it_IT;coronavirus (COVID-19);coronavirus (COVID-19)
82;en_US;it_IT;coronavirus alert;allarme coronavirus
83;en_US;it_IT;coronavirus cases;casi di coronavirus
84;en_US;it_IT;coronavirus concerns;preoccupazioni relative al coronavirus
85;en_US;it_IT;coronavirus crisis;crisi del coronavirus
86;en_US;it_IT;coronavirus disease;malattia di coronavirus
87;en_US;it_IT;Coronavirus disease (COVID-19) outbreak;Focolaio della malattia di Coronavirus (COVID-19)
88;en_US;it_IT;coronavirus early symptoms;primi sintomi del coronavirus
89;en_US;it_IT;coronavirus epidemic;epidemia di coronavirus
90;en_US;it_IT;coronavirus exposure;esposizione al coronavirus
91;en_US;it_IT;coronavirus incubation;incubazione del coronavirus
92;en_US;it_IT;coronavirus incubation period;periodo di incubazione del coronavirus
93;en_US;it_IT;coronavirus infection;infezione da coronavirus
94;en_US;it_IT;coronavirus map;mappa del coronavirus
95;en_US;it_IT;coronavirus medicine;medicinale per il coronavirus
96;en_US;it_IT;coronavirus medicines;medicinali per il coronavirus
97;en_US;it_IT;coronavirus news;notizie sul coronavirus
98;en_US;it_IT;coronavirus outbreak;focolaio di coronavirus
99;en_US;it_IT;coronavirus outbreak;epidemia di coronavirus
100;en_US;it_IT;coronavirus pandemic;pandemia di coronavirus
101;en_US;it_IT;coronavirus pneumonia;polmonite da coronavirus
102;en_US;it_IT;coronavirus precautions;precauzioni per il coronavirus
103;en_US;it_IT;coronavirus prevention;prevenzione del coronavirus
104;en_US;it_IT;coronavirus protection;protezione dal coronavirus
105;en_US;it_IT;coronavirus quarantine;quarantena per il coronavirus
106;en_US;it_IT;coronavirus scare;paura del coronavirus
107;en_US;it_IT;coronavirus SOS Alert;Avviso SOS coronavirus
108;en_US;it_IT;coronavirus spread;diffusione del coronavirus
109;en_US;it_IT;coronavirus symptoms;sintomi del coronavirus
110;en_US;it_IT;coronavirus transmission;trasmissione del coronavirus
111;en_US;it_IT;coronavirus travel ban;coronavirus divieto di viaggio
112;en_US;it_IT;coronavirus travel restrictions;coronavirus restrizioni di viaggio
113;en_US;it_IT;coronavirus treatment;terapia per il coronavirus
114;en_US;it_IT;coronavirus update;aggiornamento sul coronavirus
115;en_US;it_IT;coronavirus vaccine;vaccino contro il coronavirus
116;en_US;it_IT;coronavirus vaccines;vaccini contro il coronavirus
117;en_US;it_IT;cough;tosse
118;en_US;it_IT;cough etiquette;comportamento in caso di tosse
119;en_US;it_IT;coughing;tossendo
120;en_US;it_IT;cov 19;cov 19
121;en_US;it_IT;cov19;cov19
122;en_US;it_IT;COVID;COVID
123;en_US;it_IT;COVID 19;COVID 19
124;en_US;it_IT;covid cases;casi di covid
125;en_US;it_IT;covid early symptoms;primi sintomi del covid
126;en_US;it_IT;covid incubation period;periodo di incubazione del covid
127;en_US;it_IT;covid international spread;diffusione internazionale del covid
128;en_US;it_IT;covid international travel;covid viaggi internazionali
129;en_US;it_IT;covid isolation;isolamento per il covid
130;en_US;it_IT;covid map;mappa del covid
131;en_US;it_IT;covid medicine;medicinale per il covid
132;en_US;it_IT;covid medicines;medicinali per il covid
133;en_US;it_IT;covid news;notizie sul covid
134;en_US;it_IT;covid outbreak;epidemia di covid
135;en_US;it_IT;covid pandemic;pandemia di covid
136;en_US;it_IT;covid panic;panico per il covid
137;en_US;it_IT;covid SOS Alert;Avviso SOS covid
138;en_US;it_IT;covid symptoms;sintomi del covid
139;en_US;it_IT;covid transmission;trasmissione del covid
140;en_US;it_IT;covid travel ban;covid divieto di viaggio
141;en_US;it_IT;covid travel restrictions;covid restrizioni di viaggio
142;en_US;it_IT;covid treatment;terapia per il covid
143;en_US;it_IT;covid vaccine;vaccino contro il covid
144;en_US;it_IT;covid vaccines;vaccini contro il covid
145;en_US;it_IT;COVID-19;COVID-19
146;en_US;it_IT;COVID-19;COVID-19
147;en_US;it_IT;COVID-19;COVID-19
148;en_US;it_IT;COVID-19;COVID-19
149;en_US;it_IT;COVID-19;COVID-19
150;en_US;it_IT;COVID-19 alert;allarme COVID-19
151;en_US;it_IT;COVID-19 alert;allarme COVID-19
152;en_US;it_IT;COVID-19 cases;casi di COVID-19
153;en_US;it_IT;COVID-19 cases;casi di COVID-19
154;en_US;it_IT;COVID-19 CDC;centro per la prevenzione e il controllo del COVID-19
155;en_US;it_IT;COVID-19 CDC;centro per la prevenzione e il controllo del COVID-19
156;en_US;it_IT;COVID-19 contagious;COVID-19 contagioso
157;en_US;it_IT;COVID-19 crisis;Crisi COVID-19
158;en_US;it_IT;COVID-19 cure;cura per il COVID-19
159;en_US;it_IT;COVID-19 dangerous;COVID-19 pericoloso
160;en_US;it_IT;COVID-19 deadly;COVID-19 mortale
161;en_US;it_IT;COVID-19 death;decesso per COVID-19
162;en_US;it_IT;COVID-19 deaths;decessi per COVID-19
163;en_US;it_IT;COVID-19 deaths;decessi per COVID-19
164;en_US;it_IT;COVID-19 domestic travel;COVID-19 viaggi nazionali
165;en_US;it_IT;COVID-19 domestic travel;COVID-19 viaggi nazionali
166;en_US;it_IT;COVID-19 early symptoms;primi sintomi del COVID-19
167;en_US;it_IT;COVID-19 effects;effetti del COVID-19
168;en_US;it_IT;COVID-19 effects;effetti del COVID-19
169;en_US;it_IT;COVID-19 epidemic;epidemia di COVID-19
170;en_US;it_IT;COVID-19 epidemic;Epidemia di COVID-19
171;en_US;it_IT;COVID-19 epidemic;epidemia di COVID-19
172;en_US;it_IT;COVID-19 exposure;esposizione al COVID-19
173;en_US;it_IT;COVID-19 exposure;esposizione al COVID-19
174;en_US;it_IT;COVID-19 fatal;COVID-19 fatale
175;en_US;it_IT;COVID-19 fatal;COVID-19 fatale
176;en_US;it_IT;COVID-19 fever;febbre da COVID-19
177;en_US;it_IT;COVID-19 fever;febbre da COVID-19
178;en_US;it_IT;COVID-19 illness;malattia di COVID-19
179;en_US;it_IT;COVID-19 illness;malattia di COVID-19
180;en_US;it_IT;COVID-19 incubation;incubazione del COVID-19
181;en_US;it_IT;COVID-19 incubation;incubazione del COVID-19
182;en_US;it_IT;COVID-19 incubation period;periodo di incubazione del COVID-19
183;en_US;it_IT;COVID-19 incubation period;periodo di incubazione del COVID-19
184;en_US;it_IT;COVID-19 infection;infezione da COVID-19
185;en_US;it_IT;COVID-19 infection;infezione da COVID-19
186;en_US;it_IT;COVID-19 international spread;diffusione internazionale del COVID-19
187;en_US;it_IT;COVID-19 international spread;diffusione internazionale del COVID-19
188;en_US;it_IT;COVID-19 international travel;COVID-19 viaggi internazionali
189;en_US;it_IT;COVID-19 international travel;COVID-19 viaggi internazionali
190;en_US;it_IT;COVID-19 isolation;isolamento per il COVID-19
191;en_US;it_IT;COVID-19 isolation;isolamento per il COVID-19
192;en_US;it_IT;COVID-19 lockdown;confinamento per il COVID-19
193;en_US;it_IT;COVID-19 lockdown;confinamento per il COVID-19
194;en_US;it_IT;COVID-19 map;mappa del COVID-19
195;en_US;it_IT;COVID-19 map;mappa del COVID-19
196;en_US;it_IT;COVID-19 medicine;medicinale per il COVID-19
197;en_US;it_IT;COVID-19 medicine;medicinale per il COVID-19
198;en_US;it_IT;COVID-19 medicines;medicinali per il COVID-19
199;en_US;it_IT;COVID-19 medicines;medicinali per il COVID-19
200;en_US;it_IT;COVID-19 news;notizie sul COVID-19
201;en_US;it_IT;COVID-19 news;notizie sul COVID-19
202;en_US;it_IT;COVID-19 outbreak;epidemia di COVID-19
203;en_US;it_IT;COVID-19 outbreak;Focolaio di COVID-19
204;en_US;it_IT;COVID-19 outbreak;epidemia di COVID-19
205;en_US;it_IT;COVID-19 pandemic;pandemia di COVID-19
206;en_US;it_IT;COVID-19 pandemic;Pandemia di COVID-19
207;en_US;it_IT;COVID-19 pandemic;pandemia di COVID-19
208;en_US;it_IT;COVID-19 panic;panico per il COVID-19
209;en_US;it_IT;COVID-19 precautions;precauzioni per il COVID-19
210;en_US;it_IT;COVID-19 precautions;precauzioni per il COVID-19
211;en_US;it_IT;COVID-19 protection;protezione dal COVID-19
212;en_US;it_IT;COVID-19 protection;protezione dal COVID-19
213;en_US;it_IT;COVID-19 quarantine;quarantena per il COVID-19
214;en_US;it_IT;COVID-19 quarantine;quarantena per il COVID-19
215;en_US;it_IT;COVID-19 SOS Alert;Avviso SOS COVID-19
